Painting ID,Painting Name,short description,long description,
0,"Batch 1 - Jeff Koons ""Michael Jackson and Bubbles"" 1988",A man with a monkey,"The man looks a bit like Michael Jackson. Apart from that, it expresses the bonding between animals and humans. Also might indicate the evolutionary connection humans have with apes. The monkey is dressed in same suit as the man. It suggests that they are performers, perhaps in a circus. It feels a little bit creepy because of the gold color and the ape's face.",
0,"Batch 1 - Jeff Koons ""Michael Jackson and Bubbles"" 1988",Michael Jackson and Bubbles,The image looks like a statue of Michael Jackson and his pet chimp Bubbles.  It looks like something a fan would have as a souvenir.,
0,"Batch 1 - Jeff Koons ""Michael Jackson and Bubbles"" 1988",porceline figurine,mood seems to be friendship. It is probably based on a story which I am not familiar with. Makes me curious,
0,"Batch 1 - Jeff Koons ""Michael Jackson and Bubbles"" 1988",A man holding a monkey on his lap,It looks like a peaceful moment with a man holding his monkey. It looks like Michael Jackson holding his pet monkey from many years ago. ,
0,"Batch 1 - Jeff Koons ""Michael Jackson and Bubbles"" 1988",Michael Jackson,This picture is showing Michael Jackson with his Chimp Bubbles. It is trying to covey his love for Bubbles. It makes me feel kind of creepy.,
0,"Batch 1 - Jeff Koons ""Michael Jackson and Bubbles"" 1988",Michael Jackson,Michael Jackson is holding his pet monkey. This is trying to convey the relationship between humans and animals. This makes me feel good because I am an animal lover.,
0,"Batch 1 - Jeff Koons ""Michael Jackson and Bubbles"" 1988",Man and monkey in gold and white,"I get the image of a vain man who needs to surround himself with opulence  The fact that the monkey is dressed like him gives me the impression of extreme narcissism, like the monkey is not its own entity but an extension of the man.",
0,"Batch 1 - Jeff Koons ""Michael Jackson and Bubbles"" 1988",A figure of Michael Jackson and his monkey Bubbles,"It' s a picture of a tiny statue of Michael Jackson and his monkey Bubbles. Michael looks happy, as does the monkey. The image is trying to convey that Michael Jackson had a monkey, and its name was Bubbles. This image makes me feel confused. Who made this? Why is it real? How much is it? Where the Hell can I buy it because I need it",
0,"Batch 1 - Jeff Koons ""Michael Jackson and Bubbles"" 1988",Michael Jackson and monkey,"This image feels fake. Jackson's eyes are averted and the monkey is making direct eye contact. Jackson seems untrustworthy. The overall mood is joyful, but it feels false, or tongue in cheek.",
0,"Batch 1 - Jeff Koons ""Michael Jackson and Bubbles"" 1988",Michael Jackson and his monkey,I feel that the use of the color gold represented in this picture symbolizes his achievements in his lifetime,
0,"Batch 1 - Jeff Koons ""Michael Jackson and Bubbles"" 1988",man holding monkey,makes me happy monkeys are awesome,
0,"Batch 1 - Jeff Koons ""Michael Jackson and Bubbles"" 1988",Gold Michael Jackson figurine ,"This image appears to be Michael Jackson holding a monkey. While the figure itself is somewhat simple the gold coloration tries to convey a feeling of luxury or opulence but falls short as the subject matter and the excessive gold coloration throughout just makes the image appear gaudy.
",
0,"Batch 1 - Jeff Koons ""Michael Jackson and Bubbles"" 1988",It's a golden Michael Jackson statue with a smaller golden monkey child.,I'm kind of weirded out by it. ,
0,"Batch 1 - Jeff Koons ""Michael Jackson and Bubbles"" 1988",Man holding a monkey as if it were a human child.,Just Michael Jackson creepy. Looks very much like him holding a monkey (Bubbles?) as if it is a human child and looking at it with care. Shudder worthy.,
0,"Batch 1 - Jeff Koons ""Michael Jackson and Bubbles"" 1988",Porcelain figurine of a man and a monkey.,A man is has a monkey on his lap. Perhaps the man is a performance artist and the monkey is part of his performance. It makes me feel like going to the circus.,
0,"Batch 1 - Jeff Koons ""Michael Jackson and Bubbles"" 1988",man holding a monkey,"It is a piece of art of a man holding money in a way that shows the man treats the money as his pet or child.  The man shows concern for the money and the monkey  looks like it feels very safe and comfortable. As someone who is involved with the no-kill shelter movement that makes me feel good, because it shows the love of a human and their pets and how important it is.",
0,"Batch 1 - Jeff Koons ""Michael Jackson and Bubbles"" 1988",,,
0,"Batch 1 - Jeff Koons ""Michael Jackson and Bubbles"" 1988",Statue of man and monkey,This image is of Michael Jackson and his pet monkey. I consider it very gaudy and probably was intentionally so. I think that it represents in a way how much Mr. Jackson was entirely in his own world based on the details themselves combined with the previously mentioned gaudiness of it.,
0,"Batch 1 - Jeff Koons ""Michael Jackson and Bubbles"" 1988",A man with a monkey.,"This first thing I think of is Michael Jackson and his pet monkey. It also reminds me of autumn with what looks to be leaves on the ground around the man.  The image also makes me somewhat sad because I don't think Michael Jackson was understood by a lot of people.  A lot of people thought of him as weird, etc.",
